"","Human.Symbol","Homologene_ID","None","Mouse.Symbol","hg19","mm10"
"mm10_Adamts4","ADAMTS4",36169,"yes","Adamts4","hg19_ADAMTS4","mm10_Adamts4"
"mm10_Adamts5","ADAMTS5",5109,"yes","Adamts5","hg19_ADAMTS5","mm10_Adamts5"
"mm10_Adamts6","ADAMTS6",82573,"yes","Adamts6","hg19_ADAMTS6","mm10_Adamts6"
"mm10_Adamts7","ADAMTS7",22803,"yes","Adamts7","hg19_ADAMTS7","mm10_Adamts7"
"mm10_Adamts8","ADAMTS8",5108,"yes","Adamts8","hg19_ADAMTS8","mm10_Adamts8"
"mm10_Adamts9","ADAMTS9",18821,"yes","Adamts9","hg19_ADAMTS9","mm10_Adamts9"
"mm10_Adamtsl1","ADAMTSL1",64642,"yes","Adamtsl1","hg19_ADAMTSL1","mm10_Adamtsl1"
"mm10_Adamtsl2","ADAMTSL2",8798,"yes","Adamtsl2","hg19_ADAMTSL2","mm10_Adamtsl2"
"mm10_Adamtsl3","ADAMTSL3",18912,"yes","Adamtsl3","hg19_ADAMTSL3","mm10_Adamtsl3"
"mm10_Adamtsl4","ADAMTSL4",23141,"yes","Adamtsl4","hg19_ADAMTSL4","mm10_Adamtsl4"
"mm10_Adamtsl5","ADAMTSL5",19803,"yes","Adamtsl5","hg19_ADAMTSL5","mm10_Adamtsl5"
"mm10_Adap1","ADAP1",55997,"yes","Adap1","hg19_ADAP1","mm10_Adap1"
"mm10_Adap2","ADAP2",10179,"yes","Adap2","hg19_ADAP2","mm10_Adap2"
"mm10_Adar","ADAR",9281,"yes","Adar","hg19_ADAR","mm10_Adar"
"mm10_Adarb1","ADARB1",8280,"yes","Adarb1","hg19_ADARB1","mm10_Adarb1"
"mm10_Adarb2","ADARB2",10276,"yes","Adarb2","hg19_ADARB2","mm10_Adarb2"
"mm10_Adat1","ADAT1",8096,"yes","Adat1","hg19_ADAT1","mm10_Adat1"
"mm10_Adat2","ADAT2",6262,"yes","Adat2","hg19_ADAT2","mm10_Adat2"
"mm10_Adat3","ADAT3",50671,"yes","Adat3","hg19_ADAT3","mm10_Adat3"
"mm10_Adck1","ADCK1",6493,"yes","Adck1","hg19_ADCK1","mm10_Adck1"
"mm10_Adck2","ADCK2",49103,"yes","Adck2","hg19_ADCK2","mm10_Adck2"
"mm10_Adck5","ADCK5",34378,"yes","Adck5","hg19_ADCK5","mm10_Adck5"
"mm10_Adcy1","ADCY1",41419,"yes","Adcy1","hg19_ADCY1","mm10_Adcy1"
"mm10_Adcy10","ADCY10",10188,"yes","Adcy10","hg19_ADCY10","mm10_Adcy10"
"mm10_Adcy2","ADCY2",75133,"yes","Adcy2","hg19_ADCY2","mm10_Adcy2"
"mm10_Adcy3","ADCY3",2978,"yes","Adcy3","hg19_ADCY3","mm10_Adcy3"
"mm10_Adcy4","ADCY4",23149,"yes","Adcy4","hg19_ADCY4","mm10_Adcy4"
"mm10_Adcy5","ADCY5",11213,"yes","Adcy5","hg19_ADCY5","mm10_Adcy5"
"mm10_Adcy6","ADCY6",22400,"yes","Adcy6","hg19_ADCY6","mm10_Adcy6"
"mm10_Adcy7","ADCY7",866,"yes","Adcy7","hg19_ADCY7","mm10_Adcy7"
"mm10_Adcy8","ADCY8",37443,"yes","Adcy8","hg19_ADCY8","mm10_Adcy8"
"mm10_Adcy9","ADCY9",868,"yes","Adcy9","hg19_ADCY9","mm10_Adcy9"
"mm10_Adcyap1","ADCYAP1",869,"yes","Adcyap1","hg19_ADCYAP1","mm10_Adcyap1"
"mm10_Adcyap1r1","ADCYAP1R1",870,"yes","Adcyap1r1","hg19_ADCYAP1R1","mm10_Adcyap1r1"
"mm10_Add1","ADD1",22758,"yes","Add1","hg19_ADD1","mm10_Add1"
"mm10_Add2","ADD2",1221,"yes","Add2","hg19_ADD2","mm10_Add2"
"mm10_Add3","ADD3",40893,"yes","Add3","hg19_ADD3","mm10_Add3"
"mm10_Adgb","ADGB",100289,"yes","Adgb","hg19_ADGB","mm10_Adgb"
"mm10_Adgra1","ADGRA1",18582,"yes","Adgra1","hg19_ADGRA1","mm10_Adgra1"
"mm10_Adgra2","ADGRA2",13112,"yes","Adgra2","hg19_ADGRA2","mm10_Adgra2"
"mm10_Adgra3","ADGRA3",19235,"yes","Adgra3","hg19_ADGRA3","mm10_Adgra3"
"mm10_Adgrb1","ADGRB1",1287,"yes","Adgrb1","hg19_ADGRB1","mm10_Adgrb1"
"mm10_Adgrb2","ADGRB2",1288,"yes","Adgrb2","hg19_ADGRB2","mm10_Adgrb2"
"mm10_Adgrb3","ADGRB3",1289,"yes","Adgrb3","hg19_ADGRB3","mm10_Adgrb3"
"mm10_Adgrd1","ADGRD1",34616,"yes","Adgrd1","hg19_ADGRD1","mm10_Adgrd1"
"mm10_Adgre1","ADGRE1",1493,"yes","Adgre1","hg19_ADGRE1","mm10_Adgre1"
"mm10_Adgre4","ADGRE4P",64640,"yes","Adgre4","hg19_ADGRE4P","mm10_Adgre4"
"mm10_Adgre5","ADGRE5",8050,"yes","Adgre5","hg19_ADGRE5","mm10_Adgre5"
"mm10_Adgrf1","ADGRF1",124643,"yes","Adgrf1","hg19_ADGRF1","mm10_Adgrf1"
"mm10_Adgrf2","ADGRF2",45213,"yes","Adgrf2","hg19_ADGRF2","mm10_Adgrf2"
"mm10_Adgrf3","ADGRF3",17826,"yes","Adgrf3","hg19_ADGRF3","mm10_Adgrf3"
"mm10_Adgrf4","ADGRF4",51953,"yes","Adgrf4","hg19_ADGRF4","mm10_Adgrf4"
"mm10_Adgrf5","ADGRF5",9065,"yes","Adgrf5","hg19_ADGRF5","mm10_Adgrf5"
"mm10_Adgrg1","ADGRG1",4156,"yes","Adgrg1","hg19_ADGRG1","mm10_Adgrg1"
"mm10_Adgrg2","ADGRG2",4208,"yes","Adgrg2","hg19_ADGRG2","mm10_Adgrg2"
"mm10_Adgrg3","ADGRG3",18129,"yes","Adgrg3","hg19_ADGRG3","mm10_Adgrg3"
"mm10_Adgrg4","ADGRG4",72131,"yes","Adgrg4","hg19_ADGRG4","mm10_Adgrg4"
"mm10_Adgrg5","ADGRG5",17828,"yes","Adgrg5","hg19_ADGRG5","mm10_Adgrg5"
"mm10_Adgrg6","ADGRG6",10724,"yes","Adgrg6","hg19_ADGRG6","mm10_Adgrg6"
"mm10_Adgrg7","ADGRG7",13115,"yes","Adgrg7","hg19_ADGRG7","mm10_Adgrg7"
"mm10_Adgrl1","ADGRL1",8951,"yes","Adgrl1","hg19_ADGRL1","mm10_Adgrl1"
"mm10_Adgrl2","ADGRL2",22712,"yes","Adgrl2","hg19_ADGRL2","mm10_Adgrl2"
"mm10_Adgrl3","ADGRL3",22878,"yes","Adgrl3","hg19_ADGRL3","mm10_Adgrl3"
"mm10_Adgrl4","ADGRL4",11170,"yes","Adgrl4","hg19_ADGRL4","mm10_Adgrl4"
"mm10_Adgrv1","ADGRV1",19815,"yes","Adgrv1","hg19_ADGRV1","mm10_Adgrv1"
"mm10_Adh1","ADH1A",73888,"yes","Adh1","hg19_ADH1A","mm10_Adh1"
"mm10_Adh4","ADH4",20162,"yes","Adh4","hg19_ADH4","mm10_Adh4"
"mm10_Adh5","ADH5",68076,"yes","Adh5","hg19_ADH5","mm10_Adh5"
"mm10_Adh7","ADH7",37333,"yes","Adh7","hg19_ADH7","mm10_Adh7"
"mm10_Adhfe1","ADHFE1",5865,"yes","Adhfe1","hg19_ADHFE1","mm10_Adhfe1"
"mm10_Adi1","ADI1",75081,"yes","Adi1","hg19_ADI1","mm10_Adi1"
"mm10_Adig","ADIG",NA,"yes","Adig","hg19_ADIG","mm10_Adig"
"mm10_Adipoq","ADIPOQ",3525,"yes","Adipoq","hg19_ADIPOQ","mm10_Adipoq"
"mm10_Adipor1","ADIPOR1",69199,"yes","Adipor1","hg19_ADIPOR1","mm10_Adipor1"
"mm10_Adipor2","ADIPOR2",56119,"yes","Adipor2","hg19_ADIPOR2","mm10_Adipor2"
"mm10_Adk","ADK",4891,"yes","Adk","hg19_ADK","mm10_Adk"
"mm10_Adm","ADM",873,"yes","Adm","hg19_ADM","mm10_Adm"
"mm10_Adm2","ADM2",49801,"yes","Adm2","hg19_ADM2","mm10_Adm2"
"mm10_Adnp","ADNP",7617,"yes","Adnp","hg19_ADNP","mm10_Adnp"
"mm10_Adnp2","ADNP2",8945,"yes","Adnp2","hg19_ADNP2","mm10_Adnp2"
"mm10_Ado","ADO",13121,"yes","Ado","hg19_ADO","mm10_Ado"
"mm10_Adora1","ADORA1",20165,"yes","Adora1","hg19_ADORA1","mm10_Adora1"
"mm10_Adora2a","ADORA2A",20166,"yes","Adora2a","hg19_ADORA2A","mm10_Adora2a"
"mm10_Adora2b","ADORA2B",20167,"yes","Adora2b","hg19_ADORA2B","mm10_Adora2b"
"mm10_Adora3","ADORA3",550,"yes","Adora3","hg19_ADORA3","mm10_Adora3"
"mm10_Adpgk","ADPGK",41739,"yes","Adpgk","hg19_ADPGK","mm10_Adpgk"
"mm10_Adprh","ADPRH",874,"yes","Adprh","hg19_ADPRH","mm10_Adprh"
"mm10_Adprhl1","ADPRHL1",16311,"yes","Adprhl1","hg19_ADPRHL1","mm10_Adprhl1"
"mm10_Adprhl2","ADPRHL2",9863,"yes","Adprhl2","hg19_ADPRHL2","mm10_Adprhl2"
"mm10_Adprm","ADPRM",10632,"yes","Adprm","hg19_ADPRM","mm10_Adprm"
"mm10_Adra1a","ADRA1A",68078,"yes","Adra1a","hg19_ADRA1A","mm10_Adra1a"
"mm10_Adra1b","ADRA1B",55477,"yes","Adra1b","hg19_ADRA1B","mm10_Adra1b"
"mm10_Adra1d","ADRA1D",551,"yes","Adra1d","hg19_ADRA1D","mm10_Adra1d"
"mm10_Adra2a","ADRA2A",47944,"yes","Adra2a","hg19_ADRA2A","mm10_Adra2a"
"mm10_Adra2b","ADRA2B",553,"yes","Adra2b","hg19_ADRA2B","mm10_Adra2b"
"mm10_Adra2c","ADRA2C",20170,"yes","Adra2c","hg19_ADRA2C","mm10_Adra2c"
"mm10_Adrb1","ADRB1",20171,"yes","Adrb1","hg19_ADRB1","mm10_Adrb1"
"mm10_Adrb2","ADRB2",30948,"yes","Adrb2","hg19_ADRB2","mm10_Adrb2"
"mm10_Adrb3","ADRB3",37250,"yes","Adrb3","hg19_ADRB3","mm10_Adrb3"
"mm10_Adrm1","ADRM1",10513,"yes","Adrm1","hg19_ADRM1","mm10_Adrm1"
"mm10_Adsl","ADSL",12,"yes","Adsl","hg19_ADSL","mm10_Adsl"
"mm10_Adss","ADSS",875,"yes","Adss","hg19_ADSS","mm10_Adss"
"mm10_Adssl1","ADSSL1",111992,"yes","Adssl1","hg19_ADSSL1","mm10_Adssl1"
"mm10_Adtrp","ADTRP",13107,"yes","Adtrp","hg19_ADTRP","mm10_Adtrp"
"mm10_Aebp1","AEBP1",878,"yes","Aebp1","hg19_AEBP1","mm10_Aebp1"
"mm10_Aebp2","AEBP2",40690,"yes","Aebp2","hg19_AEBP2","mm10_Aebp2"
"mm10_Aen","AEN",23382,"yes","Aen","hg19_AEN","mm10_Aen"
"mm10_Aes","AES",879,"yes","Aes","hg19_AES","mm10_Aes"
"mm10_Afap1","AFAP1",11009,"yes","Afap1","hg19_AFAP1","mm10_Afap1"
"mm10_Afap1l1","AFAP1L1",18728,"yes","Afap1l1","hg19_AFAP1L1","mm10_Afap1l1"
"mm10_Afap1l2","AFAP1L2",13057,"yes","Afap1l2","hg19_AFAP1L2","mm10_Afap1l2"
"mm10_Afdn","AFDN",21202,"yes","Afdn","hg19_AFDN","mm10_Afdn"
"mm10_Aff1","AFF1",4340,"yes","Aff1","hg19_AFF1","mm10_Aff1"
"mm10_Aff2","AFF2",1532,"yes","Aff2","hg19_AFF2","mm10_Aff2"
"mm10_Aff3","AFF3",1718,"yes","Aff3","hg19_AFF3","mm10_Aff3"
"mm10_Aff4","AFF4",8683,"yes","Aff4","hg19_AFF4","mm10_Aff4"
"mm10_Afg1l","AFG1L",5782,"yes","Afg1l","hg19_AFG1L","mm10_Afg1l"
"mm10_Afg3l1","AFG3L1P",134198,"yes","Afg3l1","hg19_AFG3L1P","mm10_Afg3l1"
"mm10_Afg3l2","AFG3L2",4947,"yes","Afg3l2","hg19_AFG3L2","mm10_Afg3l2"
"mm10_Afm","AFM",881,"yes","Afm","hg19_AFM","mm10_Afm"
"mm10_Afmid","AFMID",41731,"yes","Afmid","hg19_AFMID","mm10_Afmid"
"mm10_Afp","AFP",36278,"yes","Afp","hg19_AFP","mm10_Afp"
"mm10_Aftph","AFTPH",9764,"yes","Aftph","hg19_AFTPH","mm10_Aftph"
"mm10_Aga","AGA",13,"yes","Aga","hg19_AGA","mm10_Aga"
"mm10_Agap1","AGAP1",56689,"yes","Agap1","hg19_AGAP1","mm10_Agap1"
"mm10_Agap2","AGAP2",86815,"yes","Agap2","hg19_AGAP2","mm10_Agap2"
"mm10_Agap3","AGAP3",23742,"yes","Agap3","hg19_AGAP3","mm10_Agap3"
"mm10_Agbl1","AGBL1",17552,"yes","Agbl1","hg19_AGBL1","mm10_Agbl1"
"mm10_Agbl2","AGBL2",11715,"yes","Agbl2","hg19_AGBL2","mm10_Agbl2"
"mm10_Agbl3","AGBL3",35330,"yes","Agbl3","hg19_AGBL3","mm10_Agbl3"
"mm10_Agbl4","AGBL4",84880,"yes","Agbl4","hg19_AGBL4","mm10_Agbl4"
"mm10_Agbl5","AGBL5",11053,"yes","Agbl5","hg19_AGBL5","mm10_Agbl5"
"mm10_Ager","AGER",883,"yes","Ager","hg19_AGER","mm10_Ager"
"mm10_Agfg1","AGFG1",37929,"yes","Agfg1","hg19_AGFG1","mm10_Agfg1"
"mm10_Agfg2","AGFG2",4430,"yes","Agfg2","hg19_AGFG2","mm10_Agfg2"
"mm10_Aggf1","AGGF1",41220,"yes","Aggf1","hg19_AGGF1","mm10_Aggf1"
"mm10_Agk","AGK",41239,"yes","Agk","hg19_AGK","mm10_Agk"
"mm10_Agl","AGL",536,"yes","Agl","hg19_AGL","mm10_Agl"
"mm10_Agmat","AGMAT",99855,"yes","Agmat","hg19_AGMAT","mm10_Agmat"
"mm10_Agmo","AGMO",45620,"yes","Agmo","hg19_AGMO","mm10_Agmo"
"mm10_Ago1","AGO1",81826,"yes","Ago1","hg19_AGO1","mm10_Ago1"
"mm10_Ago2","AGO2",81825,"yes","Ago2","hg19_AGO2","mm10_Ago2"
"mm10_Ago3","AGO3",49799,"yes","Ago3","hg19_AGO3","mm10_Ago3"
"mm10_Ago4","AGO4",41184,"yes","Ago4","hg19_AGO4","mm10_Ago4"
"mm10_Agpat1","AGPAT1",55973,"yes","Agpat1","hg19_AGPAT1","mm10_Agpat1"
"mm10_Agpat2","AGPAT2",4678,"yes","Agpat2","hg19_AGPAT2","mm10_Agpat2"
"mm10_Agpat3","AGPAT3",10591,"yes","Agpat3","hg19_AGPAT3","mm10_Agpat3"
"mm10_Agpat4","AGPAT4",69293,"yes","Agpat4","hg19_AGPAT4","mm10_Agpat4"
"mm10_Agpat5","AGPAT5",10153,"yes","Agpat5","hg19_AGPAT5","mm10_Agpat5"
"mm10_Agps","AGPS",2716,"yes","Agps","hg19_AGPS","mm10_Agps"
"mm10_Agr2","AGR2",4674,"yes","Agr2","hg19_AGR2","mm10_Agr2"
"mm10_Agr3","AGR3",45551,"yes","Agr3","hg19_AGR3","mm10_Agr3"
"mm10_Agrn","AGRN",27907,"yes","Agrn","hg19_AGRN","mm10_Agrn"
"mm10_Agrp","AGRP",7184,"yes","Agrp","hg19_AGRP","mm10_Agrp"
"mm10_Agt","AGT",14,"yes","Agt","hg19_AGT","mm10_Agt"
"mm10_Agtpbp1","AGTPBP1",9067,"yes","Agtpbp1","hg19_AGTPBP1","mm10_Agtpbp1"
"mm10_Agtr1b","AGTR1",84871,"yes","Agtr1b","hg19_AGTR1","mm10_Agtr1b"
"mm10_Agtr2","AGTR2",20172,"yes","Agtr2","hg19_AGTR2","mm10_Agtr2"
"mm10_Agtrap","AGTRAP",7621,"yes","Agtrap","hg19_AGTRAP","mm10_Agtrap"
"mm10_Agxt","AGXT",37251,"yes","Agxt","hg19_AGXT","mm10_Agxt"
"mm10_Agxt2","AGXT2",12887,"yes","Agxt2","hg19_AGXT2","mm10_Agxt2"
"mm10_Ahctf1","AHCTF1",9142,"yes","Ahctf1","hg19_AHCTF1","mm10_Ahctf1"
"mm10_Ahcy","AHCY",554,"yes","Ahcy","hg19_AHCY","mm10_Ahcy"
"mm10_Ahcyl1","AHCYL1",77353,"yes","Ahcyl1","hg19_AHCYL1","mm10_Ahcyl1"
"mm10_Ahcyl2","AHCYL2",69337,"yes","Ahcyl2","hg19_AHCYL2","mm10_Ahcyl2"
"mm10_Ahdc1","AHDC1",17144,"yes","Ahdc1","hg19_AHDC1","mm10_Ahdc1"
"mm10_Ahi1","AHI1",9762,"yes","Ahi1","hg19_AHI1","mm10_Ahi1"
"mm10_Ahnak","AHNAK",67425,"yes","Ahnak","hg19_AHNAK","mm10_Ahnak"
"mm10_Ahnak2","AHNAK2",131081,"yes","Ahnak2","hg19_AHNAK2","mm10_Ahnak2"
"mm10_Ahr","AHR",1224,"yes","Ahr","hg19_AHR","mm10_Ahr"
"mm10_Ahrr","AHRR",49215,"yes","Ahrr","hg19_AHRR","mm10_Ahrr"
"mm10_Ahsa1","AHSA1",8106,"yes","Ahsa1","hg19_AHSA1","mm10_Ahsa1"
"mm10_Ahsa2","AHSA2P",72214,"yes","Ahsa2","hg19_AHSA2P","mm10_Ahsa2"
"mm10_Ahsg","AHSG",1225,"yes","Ahsg","hg19_AHSG","mm10_Ahsg"
"mm10_Ahsp","AHSP",NA,"yes","Ahsp","hg19_AHSP","mm10_Ahsp"
"mm10_Aicda","AICDA",7623,"yes","Aicda","hg19_AICDA","mm10_Aicda"
"mm10_Aida","AIDA",11268,"yes","Aida","hg19_AIDA","mm10_Aida"
"mm10_Aif1","AIF1",1226,"yes","Aif1","hg19_AIF1","mm10_Aif1"
"mm10_Aif1l","AIF1L",12863,"yes","Aif1l","hg19_AIF1L","mm10_Aif1l"
"mm10_Aifm1","AIFM1",3100,"yes","Aifm1","hg19_AIFM1","mm10_Aifm1"
"mm10_Aifm2","AIFM2",6862,"yes","Aifm2","hg19_AIFM2","mm10_Aifm2"
"mm10_Aifm3","AIFM3",13773,"yes","Aifm3","hg19_AIFM3","mm10_Aifm3"
"mm10_Aig1","AIG1",32297,"yes","Aig1","hg19_AIG1","mm10_Aig1"
"mm10_Aim2","AIM2",83226,"yes","Aim2","hg19_AIM2","mm10_Aim2"
"mm10_Aimp1","AIMP1",31260,"yes","Aimp1","hg19_AIMP1","mm10_Aimp1"
"mm10_Aimp2","AIMP2",4594,"yes","Aimp2","hg19_AIMP2","mm10_Aimp2"
"mm10_Aip","AIP",2959,"yes","Aip","hg19_AIP","mm10_Aip"
"mm10_Aipl1","AIPL1",22806,"yes","Aipl1","hg19_AIPL1","mm10_Aipl1"
"mm10_Aire","AIRE",327,"yes","Aire","hg19_AIRE","mm10_Aire"
"mm10_Airn","AIRN",NA,"yes","Airn","hg19_AIRN","mm10_Airn"
"mm10_Ajap1","AJAP1",10312,"yes","Ajap1","hg19_AJAP1","mm10_Ajap1"
"mm10_Ajm1","AJM1",19943,"yes","Ajm1","hg19_AJM1","mm10_Ajm1"
"mm10_Ajuba","AJUBA",7789,"yes","Ajuba","hg19_AJUBA","mm10_Ajuba"
"mm10_Ak1","AK1",20135,"yes","Ak1","hg19_AK1","mm10_Ak1"
"mm10_Ak2","AK2",1227,"yes","Ak2","hg19_AK2","mm10_Ak2"
"mm10_Ak3","AK3",21744,"yes","Ak3","hg19_AK3","mm10_Ak3"
"mm10_Ak4","AK4",100316,"yes","Ak4","hg19_AK4","mm10_Ak4"
"mm10_Ak5","AK5",76103,"yes","Ak5","hg19_AK5","mm10_Ak5"
"mm10_Ak6","AK6",5540,"yes","Ak6","hg19_AK6","mm10_Ak6"
"mm10_Ak7","AK7",14268,"yes","Ak7","hg19_AK7","mm10_Ak7"
"mm10_Ak8","AK8",17622,"yes","Ak8","hg19_AK8","mm10_Ak8"
"mm10_Ak9","AK9",67934,"yes","Ak9","hg19_AK9","mm10_Ak9"
"mm10_Akain1","AKAIN1",85827,"yes","Akain1","hg19_AKAIN1","mm10_Akain1"
"mm10_Akap1","AKAP1",31165,"yes","Akap1","hg19_AKAP1","mm10_Akap1"
"mm10_Akap10","AKAP10",32452,"yes","Akap10","hg19_AKAP10","mm10_Akap10"
"mm10_Akap11","AKAP11",8279,"yes","Akap11","hg19_AKAP11","mm10_Akap11"
"mm10_Akap12","AKAP12",3740,"yes","Akap12","hg19_AKAP12","mm10_Akap12"
"mm10_Akap13","AKAP13",4903,"yes","Akap13","hg19_AKAP13","mm10_Akap13"
"mm10_Akap14","AKAP14",32512,"yes","Akap14","hg19_AKAP14","mm10_Akap14"
"mm10_Akap17b","AKAP17BP",14744,"yes","Akap17b","hg19_AKAP17BP","mm10_Akap17b"
"mm10_Akap2","AKAP2",100376,"yes","Akap2","hg19_AKAP2","mm10_Akap2"
"mm10_Akap3","AKAP3",4688,"yes","Akap3","hg19_AKAP3","mm10_Akap3"
"mm10_Akap4","AKAP4",2887,"yes","Akap4","hg19_AKAP4","mm10_Akap4"
"mm10_Akap5","AKAP5",15854,"yes","Akap5","hg19_AKAP5","mm10_Akap5"
"mm10_Akap6","AKAP6",3157,"yes","Akap6","hg19_AKAP6","mm10_Akap6"
"mm10_Akap7","AKAP7",49463,"yes","Akap7","hg19_AKAP7","mm10_Akap7"
"mm10_Akap8","AKAP8",4278,"yes","Akap8","hg19_AKAP8","mm10_Akap8"
"mm10_Akap8l","AKAP8L",8658,"yes","Akap8l","hg19_AKAP8L","mm10_Akap8l"
"mm10_Akap9","AKAP9",134583,"yes","Akap9","hg19_AKAP9","mm10_Akap9"
"mm10_Akip1","AKIP1",10765,"yes","Akip1","hg19_AKIP1","mm10_Akip1"
"mm10_Akirin1","AKIRIN1",11348,"yes","Akirin1","hg19_AKIRIN1","mm10_Akirin1"
"mm10_Akirin2","AKIRIN2",9988,"yes","Akirin2","hg19_AKIRIN2","mm10_Akirin2"
"mm10_Akna","AKNA",49947,"yes","Akna","hg19_AKNA","mm10_Akna"
"mm10_Aknad1","AKNAD1",51892,"yes","Aknad1","hg19_AKNAD1","mm10_Aknad1"
"mm10_Akr1a1","AKR1A1",74565,"yes","Akr1a1","hg19_AKR1A1","mm10_Akr1a1"
"mm10_Akr1b3","AKR1B1",133743,"yes","Akr1b3","hg19_AKR1B1","mm10_Akr1b3"
"mm10_Akr1b10","AKR1B10",128412,"yes","Akr1b10","hg19_AKR1B10","mm10_Akr1b10"
"mm10_Akr1c21","AKR1C1",134114,"no","Akr1c21","hg19_AKR1C1","mm10_Akr1c21"
"mm10_Akr1c18","AKR1C3",128661,"no","Akr1c18","hg19_AKR1C3","mm10_Akr1c18"
"mm10_Akr1c6","AKR1C4",84695,"no","Akr1c6","hg19_AKR1C4","mm10_Akr1c6"
"mm10_Akr1d1","AKR1D1",55943,"yes","Akr1d1","hg19_AKR1D1","mm10_Akr1d1"
"mm10_Akr1e1","AKR1E2",74313,"yes","Akr1e1","hg19_AKR1E2","mm10_Akr1e1"
"mm10_Akr7a5","AKR7A2",2737,"yes","Akr7a5","hg19_AKR7A2","mm10_Akr7a5"
"mm10_Akt1","AKT1",3785,"yes","Akt1","hg19_AKT1","mm10_Akt1"
"mm10_Akt1s1","AKT1S1",12162,"yes","Akt1s1","hg19_AKT1S1","mm10_Akt1s1"
"mm10_Akt2","AKT2",48773,"yes","Akt2","hg19_AKT2","mm10_Akt2"
"mm10_Akt3","AKT3",55904,"yes","Akt3","hg19_AKT3","mm10_Akt3"
"mm10_Aktip","AKTIP",7721,"yes","Aktip","hg19_AKTIP","mm10_Aktip"
"mm10_Alad","ALAD",16,"yes","Alad","hg19_ALAD","mm10_Alad"
"mm10_Alas1","ALAS1",55478,"yes","Alas1","hg19_ALAS1","mm10_Alas1"
"mm10_Alas2","ALAS2",17,"yes","Alas2","hg19_ALAS2","mm10_Alas2"
"mm10_Alb","ALB",405,"yes","Alb","hg19_ALB","mm10_Alb"
"mm10_Alcam","ALCAM",1229,"yes","Alcam","hg19_ALCAM","mm10_Alcam"
"mm10_Aldh16a1","ALDH16A1",34938,"yes","Aldh16a1","hg19_ALDH16A1","mm10_Aldh16a1"
"mm10_Aldh18a1","ALDH18A1",2142,"yes","Aldh18a1","hg19_ALDH18A1","mm10_Aldh18a1"
"mm10_Aldh1a1","ALDH1A1",110441,"yes","Aldh1a1","hg19_ALDH1A1","mm10_Aldh1a1"
"mm10_Aldh1a2","ALDH1A2",68368,"yes","Aldh1a2","hg19_ALDH1A2","mm10_Aldh1a2"
"mm10_Aldh1a3","ALDH1A3",68080,"yes","Aldh1a3","hg19_ALDH1A3","mm10_Aldh1a3"
"mm10_Aldh1b1","ALDH1B1",115470,"yes","Aldh1b1","hg19_ALDH1B1","mm10_Aldh1b1"
"mm10_Aldh1l1","ALDH1L1",122031,"yes","Aldh1l1","hg19_ALDH1L1","mm10_Aldh1l1"
"mm10_Aldh1l2","ALDH1L2",51942,"yes","Aldh1l2","hg19_ALDH1L2","mm10_Aldh1l2"
"mm10_Aldh2","ALDH2",55480,"yes","Aldh2","hg19_ALDH2","mm10_Aldh2"
"mm10_Aldh3a1","ALDH3A1",20175,"yes","Aldh3a1","hg19_ALDH3A1","mm10_Aldh3a1"
"mm10_Aldh3a2","ALDH3A2",55458,"yes","Aldh3a2","hg19_ALDH3A2","mm10_Aldh3a2"
"mm10_Aldh3b1","ALDH3B1",73890,"yes","Aldh3b1","hg19_ALDH3B1","mm10_Aldh3b1"
"mm10_Aldh3b2","ALDH3B2",84430,"yes","Aldh3b2","hg19_ALDH3B2","mm10_Aldh3b2"
"mm10_Aldh4a1","ALDH4A1",6081,"yes","Aldh4a1","hg19_ALDH4A1","mm10_Aldh4a1"
"mm10_Aldh5a1","ALDH5A1",840,"yes","Aldh5a1","hg19_ALDH5A1","mm10_Aldh5a1"
"mm10_Aldh6a1","ALDH6A1",4082,"yes","Aldh6a1","hg19_ALDH6A1","mm10_Aldh6a1"
"mm10_Aldh7a1","ALDH7A1",913,"yes","Aldh7a1","hg19_ALDH7A1","mm10_Aldh7a1"
"mm10_Aldh8a1","ALDH8A1",23369,"yes","Aldh8a1","hg19_ALDH8A1","mm10_Aldh8a1"
"mm10_Aldh9a1","ALDH9A1",55483,"yes","Aldh9a1","hg19_ALDH9A1","mm10_Aldh9a1"
"mm10_Aldoa","ALDOA",123896,"yes","Aldoa","hg19_ALDOA","mm10_Aldoa"
"mm10_Aldob","ALDOB",20060,"yes","Aldob","hg19_ALDOB","mm10_Aldob"
"mm10_Aldoc","ALDOC",21073,"yes","Aldoc","hg19_ALDOC","mm10_Aldoc"
"mm10_Alg1","ALG1",5387,"yes","Alg1","hg19_ALG1","mm10_Alg1"
"mm10_Alg10b","ALG10",6030,"yes","Alg10b","hg19_ALG10","mm10_Alg10b"
"mm10_Alg11","ALG11",68893,"yes","Alg11","hg19_ALG11","mm10_Alg11"
"mm10_Alg12","ALG12",36269,"yes","Alg12","hg19_ALG12","mm10_Alg12"
"mm10_Alg13","ALG13",134149,"yes","Alg13","hg19_ALG13","mm10_Alg13"
"mm10_Alg14","ALG14",49751,"yes","Alg14","hg19_ALG14","mm10_Alg14"
"mm10_Alg2","ALG2",5930,"yes","Alg2","hg19_ALG2","mm10_Alg2"
"mm10_Alg3","ALG3",4228,"yes","Alg3","hg19_ALG3","mm10_Alg3"
"mm10_Alg5","ALG5",7060,"yes","Alg5","hg19_ALG5","mm10_Alg5"
